artifact_id,artifact_type,path,mutation_types,environments,risk_level,autonomy_mode,intent,confidence,canonical_status,owner_status,evidence_status,blocked_claims,next_action,matched_terms
2f60deba6fa5,workflow,.github/workflows/api-routing-validation.yml,"database,configuration,broker_order,queue_stream,runtime_shell","prod,test,dev",critical,blocked,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,database:psql | database:Alembic | database:migrations | database:database | database:update | configuration:config | configuration:encryption | broker_order:orders | queue_stream:Redis | runtime_shell:sudo
69c96983c774,workflow,.github/workflows/backend-production-promotion-diagnose.yml,"deployment,database,infrastructure,configuration,runtime_shell","prod,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deploy | database:DB | database:create | infrastructure:docker | configuration:config | configuration:secrets | runtime_shell:sudo | runtime_shell:exec
092ec9d3867f,workflow,.github/workflows/ci.yml,"deployment,infrastructure,configuration,queue_stream","prod,staging,test",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deployment | deployment:kubectl | infrastructure:docker | configuration:secrets | queue_stream:redis
28ab5d040d9e,workflow,.github/workflows/config-service-production-pipeline.yml,"deployment,database,infrastructure,configuration,queue_stream,runtime_shell","prod,staging,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deployment | database:psql | database:migrations | database:Database | database:Create | infrastructure:service start | configuration:config | configuration:secrets | queue_stream:redis | runtime_shell:shell | runtime_shell:exec
ec539a893c96,workflow,.github/workflows/credential-readiness-gate.yml,"configuration,runtime_shell","prod,staging",high,prepare,ambiguous_operational_access,medium,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,map to canonical automation or document exception,configuration:secrets | configuration:credential | runtime_shell:SSH
ebd8d0fb7bf2,workflow,.github/workflows/deploy-backend-production.yml,"deployment,database,infrastructure,configuration,broker_order,queue_stream,runtime_shell","prod,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,present,present,cannot claim canonical operating path | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deploy | deployment:release | database:migration | database:database | database:update | infrastructure:docker | configuration:config | configuration:secrets | broker_order:order | broker_order:trading | queue_stream:redis | runtime_shell:sudo | runtime_shell:exec
22a93733b268,workflow,.github/workflows/deploy-backend-staging.yml,"deployment,database,infrastructure,configuration,broker_order,queue_stream,runtime_shell","prod,staging,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deploy | deployment:release | database:migration | database:DB | database:create | infrastructure:docker | configuration:configuration | configuration:secrets | broker_order:order | broker_order:trading | queue_stream:redis | runtime_shell:SSH | runtime_shell:exec
407153bb1d1e,workflow,.github/workflows/deploy-dev.yml,"deployment,database,infrastructure,configuration,queue_stream","test,dev",high,prepare,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,map to canonical automation or document exception,deployment:deploy | database:Create | infrastructure:docker | configuration:Configuration | configuration:secrets | queue_stream:redis
b999dbad1a2f,workflow,.github/workflows/deploy-frontend-production.yml,"deployment,infrastructure,configuration,broker_order,queue_stream,runtime_shell","prod,staging,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deploy | deployment:release | infrastructure:nginx | infrastructure:Docker | configuration:config | configuration:secrets | broker_order:orders | queue_stream:redis | runtime_shell:ssh | runtime_shell:exec
a6c68fa56cad,workflow,.github/workflows/deploy-frontend-staging.yml,"deployment,infrastructure,configuration,runtime_shell","staging,test,dev",high,prepare,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,map to canonical automation or document exception,deployment:deploy | infrastructure:nginx | infrastructure:Docker | configuration:config | configuration:secrets | runtime_shell:SSH | runtime_shell:exec
ae2183f71a18,workflow,.github/workflows/deploy-production.yml,"deployment,database,infrastructure,configuration,broker_order,runtime_shell","prod,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,present,present,cannot claim canonical operating path | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deploy | deployment:release | database:migrations | database:database | database:Create | infrastructure:service start | infrastructure:docker | configuration:secrets | broker_order:Order | runtime_shell:ssh
8401138264fa,workflow,.github/workflows/deploy-staging.yml,"deployment,database,infrastructure,configuration,broker_order,queue_stream,runtime_shell","prod,staging,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deploy | database:Create | infrastructure:docker | configuration:Configuration | configuration:secrets | broker_order:order | queue_stream:redis | queue_stream:stream | runtime_shell:exec
0a33bb54a361,workflow,.github/workflows/environment-baseline-sync.yml,configuration,"prod,staging,test,dev",critical,blocked,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,configuration:config | configuration:secrets
a301dd2c3efd,workflow,.github/workflows/environment-code-parity.yml,infrastructure,"prod,staging,dev",high,prepare,ambiguous_operational_access,medium,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,map to canonical automation or document exception,infrastructure:docker
25c700fc56f5,workflow,.github/workflows/governance-readiness-cadence.yml,"deployment,configuration,runtime_shell","prod,staging",critical,blocked,operational_mutation,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deployment | configuration:secrets | runtime_shell:ssh
1accb7c5cee6,workflow,.github/workflows/integration-tests.yml,"deployment,database,infrastructure,configuration,queue_stream","prod,staging,test,dev",critical,blocked,operational_mutation,high,non_canonical_or_unknown,present,present,cannot claim canonical operating path | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deployment | database:Create | infrastructure:Docker | configuration:secrets | queue_stream:redis
9f63ff946f89,workflow,.github/workflows/load-tests.yml,"database,configuration,broker_order,queue_stream,runtime_shell",test,high,prepare,state_mutation_candidate,high,non_canonical_or_unknown,present,present,cannot claim canonical operating path | cannot claim autonomous execution readiness,map to canonical automation or document exception,database:psql | database:alembic | database:migrations | database:database | database:update | configuration:secret | broker_order:broker | broker_order:order | broker_order:trading | queue_stream:redis | runtime_shell:sudo
a70147e35159,workflow,.github/workflows/phase1-tests.yml,"database,configuration,broker_order,queue_stream,runtime_shell",test,high,prepare,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,map to canonical automation or document exception,database:alembic | database:migrations | database:database | database:update | configuration:secrets | broker_order:order | queue_stream:redis | runtime_shell:sudo
3b92c027e8c0,workflow,.github/workflows/port-consistency-check.yml,"deployment,database,infrastructure,configuration",prod,critical,blocked,operational_mutation,high,non_canonical_or_unknown,present,missing,cannot claim canonical operating path | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,block or require controlled owner review before use,deployment:deployment | database:Update | infrastructure:docker | configuration:config
a216a55665ca,workflow,.github/workflows/promote-environments.yml,"deployment,configuration,runtime_shell","prod,staging,test,dev",high,controlled_execute,operational_mutation,high,uses_canonical_command,missing_or_unknown,present,cannot claim owner-approved | cannot claim autonomous execution readiness,assign owner boundary,deployment:deployment | deployment:promote | configuration:secrets | runtime_shell:ssh
b18ab7c819eb,workflow,.github/workflows/promotion-preflight.yml,"deployment,configuration","prod,staging",high,prepare,ambiguous_operational_access,medium,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,map to canonical automation or document exception,deployment:release | configuration:secrets
57a39e5bf1c3,workflow,.github/workflows/standards-guard.yml,"database,configuration",prod,high,prepare,ambiguous_operational_access,medium,non_canonical_or_unknown,present,present,cannot claim canonical operating path | cannot claim autonomous execution readiness,map to canonical automation or document exception,database:schema | configuration:config
42c71a1d780f,workflow,.github/workflows/streaming-tracker-watch.yml,"database,configuration,queue_stream,ai_agent",unknown,high,prepare,state_mutation_candidate,high,non_canonical_or_unknown,present,missing,cannot claim canonical operating path | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,map to canonical automation or document exception,database:update | configuration:secret | queue_stream:streaming | ai_agent:Codex | ai_agent:Claude
cabc563ca247,script,scripts/apply_algo_engine_sql_migrations.sh,database,"prod,dev",critical,blocked,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,block or require controlled owner review before use,database:psql | database:migrations | database:schema | database:CREATE
0a79ccccd6b9,script,scripts/apply_instrument_registry_migrations.sh,database,"prod,dev",critical,blocked,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,block or require controlled owner review before use,database:psql | database:migrations | database:database
78d832b604cf,script,scripts/apply_marketplace_migrations.sh,"database,broker_order",dev,high,prepare,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,map to canonical automation or document exception,database:psql | database:migrations | database:database | broker_order:order
fc0b58c3b3f7,script,scripts/apply_payoff_live_mode_config.sh,"database,configuration","prod,staging,test,dev",critical,blocked,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,database:create | configuration:config | configuration:secrets
566d2824b6a2,script,scripts/apply_service_sql_migrations.sh,"database,broker_order","prod,dev",critical,blocked,state_mutation_candidate,high,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,block or require controlled owner review before use,database:psql | database:migrations | database:schema | database:CREATE | broker_order:order
21086b85d1fd,script,scripts/audit-all-services.sh,configuration,"prod,dev",medium,recommend,validation_or_reporting,medium,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved,map to canonical automation or document exception,configuration:config | configuration:Secret
d61e2deec070,script,scripts/audit_database_access.sh,"database,infrastructure,configuration,broker_order",dev,low,observe,validation_or_reporting,medium,non_canonical_or_unknown,missing_or_unknown,missing,cannot claim canonical operating path | cannot claim owner-approved | cannot claim evidence-backed safety,map to canonical automation or document exception,database:Database | infrastructure:Docker | configuration:configuration | broker_order:Order
721ab1b95f1e,script,scripts/autonomous-debug.sh,"infrastructure,configuration,runtime_shell,ai_agent","test,dev",high,prepare,ambiguous_operational_access,medium,non_canonical_or_unknown,missing_or_unknown,present,cannot claim canonical operating path | cannot claim owner-approved | cannot claim autonomous execution readiness,map to canonical automation or document exception,infrastructure:systemctl | configuration:Configuration | runtime_shell:sudo | runtime_shell:exec | ai_agent:autonomous | ai_agent:Claude
0dccc161c2fc,script,scripts/backup-database.sh,"database,configuration",dev,high,prepare,ambiguous_operational_access,medium,non_canonical_or_unknown,present,missing,cannot claim canonical operating path | cannot claim evidence-backed safety | cannot claim autonomous execution readiness,map to canonical automation or document exception,database:psql | database:database | configuration:Configuration
4099ed05e793,script,scripts/bootstrap_env_files.sh,broker_order,"staging,test,dev",high,controlled_execute,state_mutation_candidate,high,uses_canonical_command,missing_or_unknown,present,cannot claim owner-approved | cannot claim autonomous execution readiness,assign owner boundary,broker_order:ALLOW_NON_PROD_BROKER_WRITES | broker_order:NON_PROD_BROKER_WRITE_DISABLED
