priority,action_lane,owner,owner_status,risk_level,autonomy_mode,artifact_type,path,next_action
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/backend-production-promotion-diagnose.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/ci.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/config-service-production-pipeline.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/deploy-backend-staging.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/deploy-frontend-production.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/deploy-staging.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,workflow,.github/workflows/environment-baseline-sync.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/apply_algo_engine_sql_migrations.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/apply_instrument_registry_migrations.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/apply_payoff_live_mode_config.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/apply_service_sql_migrations.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/backfill_today_via_ticker_service.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/bootstrap-dev-api-gateway-prereqs.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/bootstrap_nonprod_config_from_prod.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/code-quality-scan.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/config.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/copy_market_data.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/copy_market_data.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/data-migration.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/deploy-phase1.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/deploy.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/deployment-gate.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/detect_migration_regressions.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/fetch_today_options_data.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/fix_config_service_encryption.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/fix_timezone_data_all_tables.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/migrate-to-stocksblitz-naming.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/migrate_secrets_to_config_service.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/migrate_service_configs.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/morning_refresh.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/phase2_data_coverage_validation.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/phase2_performance_baseline.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/phase2_verification_suite.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/post-deployment-health-check.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/production-health-check.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/real-time-data-sync.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/redeploy_changed_runtime_wave.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/restore-database.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/retired/rename-to-stocksblitz.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/rollback-phase1.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/rotate_encryption_key.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/run_load_tests.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/run_production_promotion.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/secure-deploy.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/seed-gateway-routes.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/seed-gateway-routes.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/seed-route-registry.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/setup-monitoring-service.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/setup-network-security.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/smoke/verify_gateway_critical_paths.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/standards_audit.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/switch-env.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/sync-config-routes-from-ports.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/sync-ports-from-config.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/sync-registry-from-ports.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/sync_instrument_registry_broker_tokens.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/sync_instrument_registry_instruments.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/test_mf_pan_consent_flow.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,missing_or_unknown,missing_or_unknown,critical,blocked,script,scripts/test_real_weights.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/apply_prod_schema_to_envs.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/backfill_news_impacts_recent.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_algo_engine_sdk_contracts_config.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_env_roles_and_grants.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_instrument_universe_config.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_internal_order_route_signing.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_internal_service_identity_config.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_model_inference_config.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_model_inference_config.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_order_service_trading_safety_config.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/bootstrap_support_service_config.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/check_config_parameter_seeds.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/check_runtime_public_schema_usage.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/generate_trading_safety_dashboard_snapshot.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/mirror_prod_images_to_lower_envs.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_backend_promotion_contract_preflight.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_channel_services_pilot_beta.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_cross_service_contra_replay_e2e.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_cross_service_contra_replay_paper_e2e.py,block or require controlled owner review before use
